PARTICIPANT_CODE,DISTRICT,POSTCODE
0444009HST,BETHLEHEM,9860
0057556JSE,WINBURG,9420
0057597HST,LICHTENBURG,2740
0057705JSE,PORT ELIZABETH,6000
0465339HST,HENNENMAN,9445
0487398HST,STANDERTON,2430
0487401JSE,NIGEL,2265
0443334HST,MONTAGU,6715
0469853HST,BETHLEHEM,9700
0443347HST,VEREENIGING,1935
0443388JSE,VANDERBIJLPARK,1900
0058477HST,ESTCOURT,3310
0058482HST,RAYTON,1001
0058504HST,BETHAL,2310
0058517HST,SIMONSTAD,7506
0058521HST,FRANKFORT,9830
0058532HST,PETRUSBURG,9932
0058545HST,TAUNG,8575
0058558HST,KROONSTAD,9530
0058560HST,HOOPSTAD,2670
0058573HST,VREDE,2970
0058586HST,MALMESBURY,2001
0058599HST,PORT ELIZABETH,6390
0058600HST,BETHLEHEM,9706
0058613HST,ESTCOURT,3310
0058626HST,DELAREYVILLE,2760
0058639HST,PORT ELIZABETH,6000
0058641HST,KIMBERLEY,8300
0058654HST,JAGERSFONTEIN,9974
0058682HST,BENONI,1512
0443172JSE,KIMBERLEY,8300
0443253JSE,KRUGERSDORP,2008
0443266JSE,JOHANNESBURG,1454
0079413JSE,HARRISMITH,9880
0079439HST,IXOPO,4630
0079495HST,ERMELO,2330
0079550HST,ZASTRON,9950
0079591HST,WINBURG,9420
0079644HST,REITZ,9810
0443076HST,CAPE TOWN,7406
0443089HST,CHRISTIANA,2680
0443091HST,MALMESBURY,7345
0443103HST,VILJOENSKROON,8874
0443116HST,WOLMARANSSTAD,2630
0443129HST,WITBANK,1035
0058667HST,DELAREYVILLE,2760
0058667JSE,DELAREYVILLE,2760
0058673HST,EXCELSIOR,9770
0058695HST,CALEDON,7203
0058707HST,BELLVILLE,7550
0058712HST,HEIDELBERG(TVL),2400
0443580HST,CAROLINA,31
0443593HST,KRUGERSDORP,2805
0443605HST,HEIDELBERG(TVL),2400
0443618HST,IXOPO,4600
0443620HST,HEIDELBERG(TVL),9460
0058111JSE,INDWE,5445
0058205HST,BENONI,1512
0058218HST,BENONI,1513
0058220HST,CLOCOLAN,9735
0058233HST,PIKETBERG,7320
0058246HST,EAST LONDON,5206
0058259HST,LINDLEY,9515
0058261HST,GOBABIS,9140
0058274HST,BRANDFORT,9401
0058287HST,KEMPTON PARK,1621
0058291HST,KEETMANSHOOP,9020
0058291JSE,KEETMANSHOOP,9020
0058301HST,POTCHEFSTROOM,1464
0058314HST,JOHANNESBURG,2128
0058327HST,ZIMBABWE,0
0058330HST,BEDFORD,5780
0058342HST,LADYBRAND,9745
0058355HST,JOUBERTINA,6440
0058368HST,LICHTENBURG,2740
0058396HST,PIETERMARITZBURG,3245
0058396JSE,PIETERMARITZBURG,4540
0058370HST,VEREENIGING,1935
0058383HST,THEUNISSEN,9410
0058408HST,KLERKSDORP,2600
0441967JSE,BLOEMFONTEIN,9313
0487957JSE,CALEDON,7230
0442020JSE,HOWICK,3291
0059195HST,VREDE,9890
0059207HST,RAYTON,1000
0059217HST,WINBURG,9420
0059222HST,SOMERSET-EAST,5820
0059235HST,LINDLEY,9640
0059248HST,MALMESBURY,7310
0059250HST,MALMESBURY,7310
0059263HST,BELFAST,1100
0059276HST,HARRISMITH,9880
0059289HST,SENEKAL,9600
0059291HST,MIDDELBURG(TVL),1095
0059303HST,CAROLINA,1185
0059316HST,BETHAL,2270
0059329HST,GOBABIS,9140
0059331HST,LICHTENBURG,2727
0059344HST,LICHTENBURG,2755
0059357HST,PORT ELIZABETH,6185
0059369HST,PORT ELIZABETH,6175
0059372HST,DELAREYVILLE,2895
0059385HST,QUEENSTOWN,6300
0059398HST,NIGEL,2260
0059408HST,BARKLY-WEST,8375
0059412HST,HARTSWATER,8570
0059425HST,PRETORIA,181
0058735HST,ZIMBABWE,0
0058763HST,BENONI,1512
0058748HST,FICKSBURG,9730
0058750HST,HOWICK,3275
0058776HST,BETHLEHEM,9700
0058789HST,BETHLEHEM,9700
0058791HST,CAMPERDOWN,3680
0058803HST,WARRENTON,8530
0058816HST,PRETORIA,1675
0058829HST,HOWICK,3270
0058831HST,HOWICK,3275
0058844HST,BARKLY EAST,5580
0058857HST,PRETORIA,39
0058872HST,RANDBURG,2146
0058885HST,JOHANNESBURG,2001
0058898HST,UNDERBERG,4590
0058903HST,BETHLEHEM,3301
0058912HST,BENONI,1500
0058925HST,SWELLENDAM,6730
0058938HST,BOSHOF,8340
0058940HST,WINBURG,9420
0442890HST,LADY GREY,5530
0442930HST,MIDDELBURG(TVL),1050
0442971JSE,ALEXANDRIA,7624
0443013JSE,KNYSNA,6570
0443022JSE,WESTONARIA,2701
0443050JSE,WOLMARANSSTAD,2630
0442644JSE,VOLKSRUST,2944
0442660JSE,CALEDON,7180
0442753HST,CRADOCK,5880
0442766HST,PORT ELIZABETH,6006
0442806JSE,EAST LONDON,5200
0488064HST,CRADOCK,5880
0442862HST,WOLMARANSSTAD,2630
0442862JSE,WOLMARANSSTAD,2630
0442875JSE,BRANDFORT,9400
0058966HST,CLOCOLAN,9735
0058953HST,THEUNISSEN,9410
0058979HST,VENTERSDORP,2710
0058981HST,GERMISTON,1400
0058994HST,GRIEKWALAND-EAST,4730
0059004HST,VRYBURG,8650
0059017HST,MIDDELBURG(TVL),1050
0059026HST,WESSELSBRON,9680
0059032HST,KEISKAMMAHOEK,5670
0059045HST,TAUNG,8575
0059058HST,PIETERMARITZBURG,3200
0059060HST,NIGEL,2260
0059073HST,DEWETSDORP,9940
0059086HST,ZIMBABWE,0
0059099HST,LICHTENBURG,2610
0059100HST,ZIMBABWE,0
0059113HST,PRETORIA,182
0059126HST,MALMESBURY,7310
0059139HST,OUDTSHOORN,6650
0059141HST,CAPE TOWN,7800
0059154HST,KROONSTAD,9500
